epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,1.675,1.724,0.361,0.898,0.361,0.335,0.380,"[0.172, 0.519, 0.494, 0.432, 0.099, 0.485, 0.244, 0.485, 0.102, 0.322]"
01,1.398,1.619,0.410,0.899,0.410,0.357,0.369,"[0.192, 0.54, 0.462, 0.025, 0.201, 0.531, 0.529, 0.587, 0.111, 0.394]"
02,1.342,1.671,0.359,0.910,0.359,0.373,0.349,"[0.406, 0.58, 0.576, 0.48, 0.134, 0.508, 0.025, 0.478, 0.126, 0.414]"
03,1.293,1.511,0.428,0.921,0.428,0.382,0.399,"[0.4, 0.593, 0.481, 0.559, 0.15, 0.507, 0.113, 0.442, 0.223, 0.356]"
04,1.230,1.542,0.432,0.914,0.432,0.406,0.432,"[0.235, 0.577, 0.627, 0.227, 0.137, 0.516, 0.517, 0.608, 0.212, 0.4]"
05,1.242,1.416,0.482,0.946,0.482,0.424,0.509,"[0.258, 0.549, 0.7, 0.504, 0.138, 0.531, 0.54, 0.581, 0.142, 0.295]"
06,1.210,1.384,0.465,0.958,0.465,0.428,0.451,"[0.473, 0.426, 0.683, 0.601, 0.115, 0.493, 0.325, 0.518, 0.229, 0.419]"
07,1.198,1.445,0.447,0.934,0.447,0.427,0.451,"[0.424, 0.571, 0.667, 0.288, 0.159, 0.525, 0.512, 0.616, 0.194, 0.311]"
08,1.140,1.439,0.452,0.935,0.452,0.418,0.447,"[0.369, 0.576, 0.557, 0.288, 0.172, 0.52, 0.506, 0.584, 0.209, 0.4]"
09,1.143,1.444,0.452,0.940,0.452,0.389,0.460,"[0.329, 0.569, 0.417, 0.351, 0.162, 0.524, 0.512, 0.512, 0.25, 0.268]"
10,1.124,1.370,0.486,0.955,0.486,0.419,0.505,"[0.346, 0.586, 0.523, 0.52, 0.168, 0.527, 0.495, 0.503, 0.249, 0.276]"
11,1.140,1.481,0.431,0.949,0.431,0.402,0.425,"[0.377, 0.606, 0.625, 0.44, 0.103, 0.457, 0.316, 0.505, 0.155, 0.437]"
12,1.127,1.396,0.477,0.951,0.477,0.449,0.506,"[0.345, 0.597, 0.667, 0.469, 0.168, 0.54, 0.511, 0.611, 0.187, 0.394]"
13,1.110,1.388,0.485,0.949,0.485,0.436,0.497,"[0.38, 0.612, 0.522, 0.412, 0.136, 0.527, 0.539, 0.507, 0.271, 0.454]"
14,1.107,1.452,0.471,0.942,0.471,0.421,0.498,"[0.408, 0.591, 0.462, 0.397, 0.097, 0.453, 0.587, 0.607, 0.208, 0.398]"
15,1.089,1.436,0.448,0.950,0.448,0.433,0.465,"[0.332, 0.611, 0.739, 0.556, 0.261, 0.466, 0.338, 0.472, 0.176, 0.382]"
16,1.078,1.585,0.390,0.919,0.390,0.389,0.353,"[0.41, 0.557, 0.667, 0.099, 0.196, 0.522, 0.387, 0.526, 0.179, 0.349]"
17,1.096,1.326,0.513,0.958,0.513,0.462,0.528,"[0.421, 0.535, 0.642, 0.611, 0.145, 0.521, 0.492, 0.547, 0.259, 0.451]"
18,1.061,1.437,0.462,0.948,0.462,0.427,0.472,"[0.268, 0.575, 0.667, 0.554, 0.221, 0.515, 0.36, 0.504, 0.236, 0.367]"
19,1.070,1.494,0.448,0.921,0.448,0.409,0.437,"[0.347, 0.605, 0.462, 0.244, 0.168, 0.534, 0.506, 0.474, 0.251, 0.493]"
20,1.079,1.526,0.408,0.939,0.408,0.398,0.397,"[0.335, 0.58, 0.708, 0.38, 0.152, 0.494, 0.286, 0.427, 0.241, 0.373]"
21,1.056,1.223,0.556,0.968,0.556,0.486,0.562,"[0.436, 0.563, 0.667, 0.634, 0.225, 0.516, 0.562, 0.588, 0.247, 0.421]"
22,1.055,1.628,0.370,0.915,0.370,0.368,0.352,"[0.362, 0.571, 0.567, 0.146, 0.147, 0.507, 0.351, 0.507, 0.161, 0.367]"
23,1.041,1.408,0.463,0.940,0.463,0.424,0.463,"[0.33, 0.608, 0.65, 0.53, 0.165, 0.509, 0.324, 0.55, 0.245, 0.327]"
24,1.032,1.397,0.474,0.955,0.474,0.428,0.493,"[0.356, 0.6, 0.551, 0.552, 0.171, 0.526, 0.411, 0.523, 0.202, 0.392]"
25,1.032,1.571,0.385,0.931,0.385,0.389,0.377,"[0.334, 0.602, 0.667, 0.356, 0.19, 0.509, 0.229, 0.424, 0.174, 0.402]"
26,1.032,1.302,0.520,0.961,0.520,0.451,0.531,"[0.425, 0.606, 0.422, 0.566, 0.259, 0.512, 0.502, 0.601, 0.263, 0.357]"
27,1.022,1.236,0.532,0.971,0.532,0.473,0.543,"[0.362, 0.641, 0.634, 0.549, 0.185, 0.522, 0.547, 0.516, 0.242, 0.529]"
28,1.022,1.277,0.542,0.961,0.542,0.442,0.559,"[0.366, 0.621, 0.236, 0.558, 0.223, 0.555, 0.585, 0.593, 0.276, 0.404]"
29,1.032,1.343,0.486,0.957,0.486,0.443,0.496,"[0.445, 0.597, 0.557, 0.6, 0.226, 0.534, 0.374, 0.48, 0.203, 0.418]"
30,1.045,1.351,0.493,0.958,0.493,0.399,0.500,"[0.408, 0.619, 0.235, 0.588, 0.227, 0.549, 0.398, 0.45, 0.222, 0.291]"
31,1.019,1.196,0.562,0.974,0.562,0.487,0.569,"[0.372, 0.608, 0.604, 0.627, 0.308, 0.556, 0.561, 0.554, 0.226, 0.456]"
32,0.992,1.348,0.485,0.958,0.485,0.441,0.494,"[0.397, 0.616, 0.596, 0.562, 0.185, 0.529, 0.395, 0.471, 0.245, 0.414]"
33,0.980,1.270,0.524,0.963,0.524,0.470,0.537,"[0.35, 0.633, 0.682, 0.577, 0.233, 0.516, 0.506, 0.549, 0.226, 0.427]"
34,1.021,1.720,0.363,0.930,0.363,0.364,0.366,"[0.343, 0.613, 0.54, 0.452, 0.123, 0.483, 0.121, 0.361, 0.172, 0.438]"
35,1.005,1.256,0.527,0.970,0.527,0.476,0.537,"[0.379, 0.6, 0.667, 0.62, 0.286, 0.55, 0.48, 0.463, 0.258, 0.462]"
