epoch,train_loss,val_loss,rmse,mae,rmse_per_class
00,0.510,0.297,0.166,0.115,"[0.095, 0.275, 0.065, 0.314, 0.061, 0.192, 0.298, 0.136, 0.13, 0.098]"
01,0.311,0.356,0.186,0.118,"[0.104, 0.274, 0.045, 0.315, 0.055, 0.19, 0.492, 0.155, 0.133, 0.101]"
02,0.370,0.363,0.168,0.106,"[0.107, 0.247, 0.044, 0.281, 0.055, 0.196, 0.356, 0.161, 0.135, 0.101]"
03,0.347,0.402,0.153,0.098,"[0.107, 0.238, 0.044, 0.305, 0.055, 0.173, 0.204, 0.162, 0.135, 0.101]"
04,0.346,0.392,0.161,0.102,"[0.107, 0.216, 0.044, 0.266, 0.055, 0.333, 0.192, 0.161, 0.135, 0.102]"
05,0.338,0.383,0.156,0.094,"[0.107, 0.228, 0.044, 0.261, 0.055, 0.218, 0.257, 0.155, 0.135, 0.102]"
06,0.317,0.361,0.152,0.089,"[0.107, 0.227, 0.044, 0.289, 0.055, 0.173, 0.273, 0.119, 0.135, 0.102]"
07,0.279,0.370,0.150,0.091,"[0.107, 0.198, 0.044, 0.266, 0.055, 0.188, 0.18, 0.223, 0.135, 0.102]"
08,0.289,0.339,0.144,0.086,"[0.103, 0.199, 0.044, 0.241, 0.055, 0.154, 0.182, 0.222, 0.135, 0.102]"
09,0.262,0.319,0.140,0.083,"[0.076, 0.19, 0.044, 0.243, 0.055, 0.266, 0.179, 0.115, 0.134, 0.102]"
10,0.249,0.319,0.144,0.084,"[0.141, 0.224, 0.044, 0.233, 0.055, 0.167, 0.198, 0.144, 0.133, 0.102]"
11,0.248,0.312,0.144,0.083,"[0.123, 0.226, 0.044, 0.251, 0.055, 0.149, 0.222, 0.145, 0.126, 0.101]"
12,0.225,0.286,0.129,0.075,"[0.074, 0.184, 0.044, 0.236, 0.055, 0.148, 0.198, 0.125, 0.129, 0.101]"
13,0.212,0.284,0.130,0.078,"[0.094, 0.185, 0.044, 0.226, 0.055, 0.146, 0.179, 0.102, 0.169, 0.101]"
14,0.217,0.282,0.131,0.078,"[0.097, 0.18, 0.044, 0.227, 0.055, 0.156, 0.182, 0.135, 0.126, 0.101]"
15,0.202,0.278,0.130,0.075,"[0.093, 0.191, 0.044, 0.24, 0.055, 0.157, 0.183, 0.12, 0.12, 0.101]"
16,0.198,0.267,0.128,0.071,"[0.08, 0.188, 0.044, 0.248, 0.055, 0.147, 0.191, 0.099, 0.124, 0.101]"
17,0.187,0.261,0.124,0.068,"[0.066, 0.182, 0.044, 0.23, 0.055, 0.143, 0.196, 0.102, 0.125, 0.098]"
18,0.178,0.256,0.124,0.070,"[0.072, 0.178, 0.044, 0.223, 0.055, 0.142, 0.195, 0.108, 0.127, 0.098]"
19,0.184,0.254,0.124,0.073,"[0.071, 0.179, 0.044, 0.224, 0.055, 0.145, 0.18, 0.102, 0.126, 0.113]"
20,0.183,0.250,0.123,0.073,"[0.064, 0.178, 0.044, 0.223, 0.055, 0.15, 0.182, 0.099, 0.121, 0.112]"
21,0.178,0.248,0.122,0.071,"[0.066, 0.178, 0.044, 0.225, 0.055, 0.148, 0.183, 0.113, 0.116, 0.097]"
22,0.173,0.249,0.124,0.071,"[0.072, 0.177, 0.044, 0.227, 0.055, 0.146, 0.194, 0.106, 0.12, 0.097]"
23,0.172,0.245,0.123,0.071,"[0.076, 0.179, 0.044, 0.226, 0.055, 0.145, 0.191, 0.098, 0.118, 0.098]"
24,0.168,0.244,0.123,0.070,"[0.074, 0.18, 0.044, 0.235, 0.055, 0.145, 0.182, 0.1, 0.116, 0.099]"
25,0.173,0.242,0.123,0.070,"[0.067, 0.18, 0.044, 0.231, 0.055, 0.154, 0.181, 0.1, 0.117, 0.099]"
26,0.164,0.243,0.123,0.070,"[0.066, 0.178, 0.044, 0.226, 0.055, 0.15, 0.195, 0.099, 0.118, 0.098]"
27,0.161,0.240,0.123,0.070,"[0.066, 0.179, 0.044, 0.225, 0.055, 0.147, 0.19, 0.105, 0.119, 0.097]"
28,0.163,0.237,0.123,0.070,"[0.066, 0.18, 0.044, 0.229, 0.054, 0.149, 0.181, 0.111, 0.119, 0.096]"
29,0.164,0.235,0.122,0.070,"[0.068, 0.18, 0.043, 0.228, 0.054, 0.148, 0.182, 0.102, 0.118, 0.095]"
30,0.163,0.237,0.123,0.072,"[0.07, 0.18, 0.043, 0.227, 0.053, 0.156, 0.189, 0.099, 0.117, 0.096]"
31,0.158,0.236,0.122,0.072,"[0.071, 0.181, 0.042, 0.226, 0.056, 0.15, 0.184, 0.099, 0.115, 0.097]"
32,0.162,0.235,0.122,0.071,"[0.07, 0.183, 0.041, 0.225, 0.058, 0.148, 0.182, 0.099, 0.115, 0.096]"
33,0.161,0.235,0.123,0.071,"[0.069, 0.18, 0.041, 0.226, 0.055, 0.149, 0.195, 0.101, 0.117, 0.095]"
34,0.160,0.234,0.122,0.071,"[0.067, 0.18, 0.041, 0.225, 0.053, 0.152, 0.183, 0.105, 0.117, 0.096]"
35,0.158,0.236,0.123,0.071,"[0.067, 0.181, 0.04, 0.229, 0.053, 0.153, 0.188, 0.108, 0.117, 0.096]"
36,0.161,0.235,0.122,0.070,"[0.068, 0.186, 0.04, 0.226, 0.053, 0.147, 0.182, 0.101, 0.117, 0.096]"
37,0.157,0.236,0.123,0.070,"[0.068, 0.183, 0.041, 0.225, 0.053, 0.148, 0.201, 0.101, 0.117, 0.096]"
38,0.161,0.235,0.122,0.070,"[0.068, 0.182, 0.04, 0.227, 0.053, 0.149, 0.188, 0.1, 0.117, 0.095]"
39,0.156,0.236,0.123,0.071,"[0.069, 0.182, 0.041, 0.229, 0.053, 0.156, 0.185, 0.105, 0.116, 0.095]"
40,0.157,0.236,0.122,0.070,"[0.069, 0.183, 0.041, 0.226, 0.053, 0.149, 0.183, 0.109, 0.115, 0.095]"
41,0.158,0.235,0.122,0.070,"[0.07, 0.183, 0.041, 0.227, 0.053, 0.148, 0.185, 0.102, 0.115, 0.095]"
42,0.156,0.234,0.122,0.069,"[0.069, 0.183, 0.042, 0.227, 0.053, 0.147, 0.185, 0.101, 0.115, 0.095]"
43,0.152,0.235,0.122,0.070,"[0.069, 0.183, 0.042, 0.225, 0.053, 0.154, 0.183, 0.101, 0.115, 0.095]"
44,0.156,0.236,0.122,0.070,"[0.069, 0.184, 0.042, 0.226, 0.053, 0.152, 0.184, 0.102, 0.116, 0.095]"
45,0.153,0.236,0.122,0.069,"[0.069, 0.183, 0.042, 0.227, 0.053, 0.147, 0.19, 0.101, 0.116, 0.095]"
46,0.154,0.235,0.123,0.069,"[0.07, 0.184, 0.043, 0.232, 0.053, 0.147, 0.184, 0.102, 0.116, 0.095]"
47,0.150,0.236,0.122,0.070,"[0.07, 0.184, 0.043, 0.23, 0.053, 0.149, 0.183, 0.102, 0.116, 0.095]"
48,0.153,0.237,0.123,0.070,"[0.069, 0.185, 0.043, 0.226, 0.053, 0.153, 0.184, 0.102, 0.116, 0.095]"
49,0.153,0.236,0.122,0.070,"[0.069, 0.185, 0.043, 0.226, 0.053, 0.147, 0.188, 0.102, 0.116, 0.095]"
50,0.152,0.235,0.122,0.069,"[0.069, 0.183, 0.043, 0.229, 0.053, 0.147, 0.186, 0.102, 0.116, 0.095]"
51,0.154,0.236,0.123,0.070,"[0.069, 0.184, 0.043, 0.233, 0.052, 0.147, 0.183, 0.105, 0.115, 0.094]"
52,0.155,0.236,0.122,0.070,"[0.068, 0.182, 0.042, 0.227, 0.052, 0.151, 0.184, 0.103, 0.115, 0.095]"
53,0.157,0.239,0.123,0.070,"[0.068, 0.182, 0.042, 0.231, 0.053, 0.155, 0.192, 0.101, 0.115, 0.095]"
54,0.157,0.237,0.122,0.069,"[0.069, 0.185, 0.042, 0.227, 0.053, 0.148, 0.187, 0.102, 0.114, 0.095]"
55,0.154,0.236,0.122,0.069,"[0.07, 0.183, 0.042, 0.234, 0.052, 0.147, 0.183, 0.102, 0.115, 0.095]"
56,0.153,0.237,0.124,0.070,"[0.07, 0.184, 0.042, 0.245, 0.052, 0.147, 0.183, 0.102, 0.115, 0.095]"
57,0.154,0.236,0.122,0.069,"[0.068, 0.182, 0.042, 0.227, 0.052, 0.149, 0.187, 0.103, 0.115, 0.095]"
58,0.151,0.238,0.122,0.070,"[0.067, 0.182, 0.042, 0.228, 0.053, 0.153, 0.188, 0.102, 0.115, 0.095]"
