epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted
0,1.408+-0.022,1.381+-0.173,0.475+-0.056,0.967+-0.008,0.475+-0.056,0.445+-0.03,0.481+-0.052
1,1.074+-0.023,1.112+-0.127,0.574+-0.056,0.974+-0.004,0.574+-0.056,0.519+-0.033,0.575+-0.062
2,0.987+-0.025,1.197+-0.012,0.543+-0.011,0.974+-0.004,0.543+-0.011,0.482+-0.013,0.557+-0.013
3,0.936+-0.03,1.119+-0.098,0.577+-0.033,0.974+-0.005,0.577+-0.033,0.509+-0.037,0.587+-0.028
4,0.904+-0.009,1.117+-0.049,0.575+-0.013,0.972+-0.005,0.575+-0.013,0.516+-0.015,0.589+-0.012
5,0.886+-0.02,1.187+-0.057,0.557+-0.029,0.972+-0.002,0.557+-0.029,0.516+-0.016,0.575+-0.03
6,0.885+-0.02,1.321+-0.01,0.501+-0.006,0.967+-0.004,0.501+-0.006,0.463+-0.007,0.501+-0.012
7,0.865+-0.015,1.203+-0.098,0.534+-0.024,0.972+-0.007,0.534+-0.024,0.499+-0.025,0.546+-0.019
8,0.844+-0.021,1.121+-0.062,0.571+-0.023,0.975+-0.005,0.571+-0.023,0.514+-0.029,0.573+-0.019
9,0.828+-0.003,1.273+-0.333,0.531+-0.103,0.959+-0.03,0.531+-0.103,0.492+-0.094,0.52+-0.122
10,0.809+-0.026,1.158+-0.031,0.55+-0.013,0.973+-0.001,0.55+-0.013,0.502+-0.011,0.555+-0.017
11,0.801+-0.02,1.146+-0.087,0.56+-0.034,0.973+-0.004,0.56+-0.034,0.519+-0.003,0.564+-0.048
12,0.8+-0.02,0.991+-0.02,0.611+-0.013,0.983+-0.0,0.611+-0.013,0.56+-0.014,0.618+-0.016
13,0.797+-0.02,1.072+-0.116,0.577+-0.037,0.98+-0.007,0.577+-0.037,0.54+-0.038,0.58+-0.032
14,0.789+-0.017,1.068+-0.09,0.584+-0.03,0.979+-0.006,0.584+-0.03,0.538+-0.028,0.586+-0.034
15,0.774+-0.014,1.115+-0.111,0.576+-0.035,0.975+-0.009,0.576+-0.035,0.523+-0.048,0.583+-0.03
16,0.765+-0.019,1.09+-0.074,0.583+-0.028,0.977+-0.005,0.583+-0.028,0.539+-0.015,0.586+-0.035
17,0.767+-0.015,1.035+-0.039,0.604+-0.018,0.98+-0.005,0.604+-0.018,0.556+-0.015,0.61+-0.02
18,0.759+-0.03,0.998+-0.101,0.61+-0.04,0.982+-0.003,0.61+-0.04,0.555+-0.029,0.614+-0.036
19,0.751+-0.01,1.064+-0.038,0.58+-0.01,0.98+-0.003,0.58+-0.01,0.541+-0.018,0.589+-0.004
20,0.762+-0.013,1.068+-0.059,0.584+-0.026,0.978+-0.001,0.584+-0.026,0.522+-0.019,0.591+-0.024
21,0.764+-0.018,1.107+-0.069,0.578+-0.02,0.976+-0.006,0.578+-0.02,0.534+-0.017,0.574+-0.041
22,0.758+-0.03,1.064+-0.101,0.592+-0.022,0.979+-0.007,0.592+-0.022,0.542+-0.036,0.597+-0.027
23,0.758+-0.032,1.058+-0.061,0.592+-0.026,0.978+-0.003,0.592+-0.026,0.54+-0.014,0.603+-0.027
24,0.756+-0.023,1.099+-0.101,0.581+-0.033,0.978+-0.005,0.581+-0.033,0.535+-0.027,0.585+-0.044
25,0.721+-0.002,1.025+-0.056,0.597+-0.028,0.983+-0.001,0.597+-0.028,0.549+-0.026,0.597+-0.031
26,0.709+-0.006,1.057+-0.052,0.597+-0.015,0.978+-0.004,0.597+-0.015,0.537+-0.022,0.609+-0.009
27,0.718+-0.012,1.116+-0.094,0.58+-0.02,0.974+-0.007,0.58+-0.02,0.526+-0.02,0.588+-0.038
28,0.734+-0.012,1.025+-0.127,0.594+-0.05,0.98+-0.005,0.594+-0.05,0.542+-0.037,0.597+-0.05
29,0.712+-0.01,1.019+-0.043,0.599+-0.011,0.982+-0.002,0.599+-0.011,0.554+-0.008,0.604+-0.012
30,0.705+-0.028,1.0+-0.05,0.608+-0.014,0.983+-0.002,0.608+-0.014,0.563+-0.016,0.615+-0.011
31,0.701+-0.017,1.089+-0.094,0.582+-0.029,0.979+-0.005,0.582+-0.029,0.546+-0.024,0.594+-0.022
32,0.723+-0.02,1.093+-0.075,0.585+-0.036,0.977+-0.004,0.585+-0.036,0.532+-0.024,0.59+-0.044
33,0.701+-0.01,1.098+-0.083,0.575+-0.03,0.978+-0.001,0.575+-0.03,0.528+-0.028,0.583+-0.031
34,0.702+-0.003,0.988+-0.042,0.61+-0.018,0.984+-0.001,0.61+-0.018,0.57+-0.015,0.615+-0.021
35,0.701+-0.016,1.023+-0.105,0.6+-0.041,0.981+-0.002,0.6+-0.041,0.543+-0.02,0.61+-0.037
36,0.694+-0.004,1.136+-0.093,0.565+-0.037,0.976+-0.006,0.565+-0.037,0.516+-0.032,0.57+-0.042
37,0.685+-0.003,1.067+-0.129,0.582+-0.048,0.979+-0.009,0.582+-0.048,0.544+-0.038,0.584+-0.053
38,0.697+-0.003,1.084+-0.083,0.571+-0.033,0.982+-0.003,0.571+-0.033,0.544+-0.005,0.569+-0.039
39,0.685+-0.006,1.182+-0.081,0.544+-0.028,0.976+-0.003,0.544+-0.028,0.505+-0.027,0.55+-0.03
40,0.692+-0.005,1.055+-0.106,0.596+-0.04,0.979+-0.006,0.596+-0.04,0.543+-0.037,0.601+-0.046
41,0.678+-0.008,1.014+-0.059,0.606+-0.028,0.984+-0.002,0.606+-0.028,0.558+-0.012,0.609+-0.033
42,0.691+-0.021,1.022+-0.054,0.592+-0.023,0.984+-0.002,0.592+-0.023,0.551+-0.003,0.597+-0.02
43,0.671+-0.006,1.004+-0.049,0.613+-0.01,0.981+-0.003,0.613+-0.01,0.558+-0.005,0.617+-0.009
44,0.671+-0.002,1.039+-0.032,0.6+-0.013,0.982+-0.001,0.6+-0.013,0.544+-0.019,0.614+-0.012
45,0.674+-0.015,0.953+-0.071,0.627+-0.036,0.983+-0.003,0.627+-0.036,0.562+-0.031,0.633+-0.032
46,0.684+-0.009,1.081+-0.096,0.581+-0.032,0.979+-0.003,0.581+-0.032,0.529+-0.025,0.589+-0.031
47,0.677+-0.026,1.083+-0.114,0.585+-0.037,0.978+-0.004,0.585+-0.037,0.536+-0.027,0.591+-0.037
48,0.673+-0.028,0.997+-0.014,0.618+-0.007,0.98+-0.001,0.618+-0.007,0.544+-0.015,0.629+-0.008
49,0.662+-0.02,1.084+-0.093,0.583+-0.025,0.979+-0.005,0.583+-0.025,0.536+-0.013,0.596+-0.02
50,0.632+-0.009,1.11+-0.099,0.6+-0.027,0.987+-0.003,0.6+-0.027,0.558+-0.036,0.602+-0.028
51,0.483+-0.016,0.938+-0.073,0.637+-0.024,0.99+-0.001,0.637+-0.024,0.606+-0.017,0.639+-0.029
52,0.349+-0.007,0.843+-0.034,0.673+-0.013,0.993+-0.001,0.673+-0.013,0.629+-0.009,0.675+-0.012
53,0.283+-0.006,0.818+-0.042,0.693+-0.015,0.992+-0.001,0.693+-0.015,0.65+-0.007,0.693+-0.016
54,0.235+-0.006,0.866+-0.067,0.679+-0.017,0.992+-0.001,0.679+-0.017,0.646+-0.02,0.682+-0.015
55,0.202+-0.009,0.788+-0.031,0.707+-0.013,0.992+-0.001,0.707+-0.013,0.66+-0.008,0.708+-0.01
56,0.173+-0.009,0.88+-0.069,0.683+-0.016,0.992+-0.001,0.683+-0.016,0.647+-0.004,0.68+-0.018
57,0.148+-0.007,0.767+-0.032,0.724+-0.01,0.992+-0.002,0.724+-0.01,0.672+-0.006,0.724+-0.009
58,0.127+-0.004,0.792+-0.03,0.727+-0.011,0.991+-0.001,0.727+-0.011,0.673+-0.017,0.725+-0.011
59,0.105+-0.003,0.806+-0.031,0.725+-0.006,0.992+-0.001,0.725+-0.006,0.67+-0.017,0.725+-0.005
60,0.089+-0.001,0.815+-0.047,0.723+-0.011,0.992+-0.001,0.723+-0.011,0.667+-0.004,0.723+-0.01
61,0.076+-0.003,0.788+-0.009,0.737+-0.003,0.992+-0.002,0.737+-0.003,0.677+-0.006,0.735+-0.003
62,0.063+-0.001,0.807+-0.026,0.735+-0.001,0.993+-0.0,0.735+-0.001,0.675+-0.01,0.734+-0.002
63,0.051+-0.002,0.85+-0.024,0.735+-0.007,0.993+-0.001,0.735+-0.007,0.678+-0.011,0.732+-0.008
64,0.048+-0.004,0.84+-0.023,0.733+-0.006,0.992+-0.001,0.733+-0.006,0.676+-0.007,0.731+-0.005
65,0.038+-0.002,0.869+-0.037,0.734+-0.005,0.992+-0.001,0.734+-0.005,0.68+-0.012,0.732+-0.004
66,0.033+-0.002,0.872+-0.002,0.737+-0.007,0.992+-0.001,0.737+-0.007,0.667+-0.008,0.733+-0.008
