epoch,train_loss,val_loss,top1,top5,f1_micro,f1_macro,f1_weighted,f1_per_class
00,2.022,1.844,0.336,0.889,0.336,0.255,0.343,"[0.297, 0.373, 0.282, 0.525, 0.091, 0.106, 0.306, 0.253, 0.112, 0.205]"
01,1.290,1.313,0.503,0.968,0.503,0.472,0.483,"[0.58, 0.614, 0.612, 0.63, 0.351, 0.487, 0.295, 0.41, 0.363, 0.375]"
02,0.877,1.397,0.533,0.929,0.533,0.479,0.534,"[0.491, 0.636, 0.593, 0.425, 0.388, 0.519, 0.626, 0.508, 0.319, 0.288]"
03,0.770,1.293,0.554,0.972,0.554,0.499,0.541,"[0.58, 0.619, 0.545, 0.645, 0.362, 0.507, 0.445, 0.484, 0.436, 0.367]"
04,0.687,1.355,0.557,0.962,0.557,0.501,0.565,"[0.546, 0.686, 0.536, 0.568, 0.362, 0.527, 0.564, 0.455, 0.368, 0.395]"
05,0.541,1.136,0.615,0.982,0.615,0.551,0.620,"[0.598, 0.645, 0.636, 0.676, 0.419, 0.583, 0.627, 0.516, 0.39, 0.418]"
06,0.517,1.211,0.575,0.982,0.575,0.516,0.575,"[0.566, 0.704, 0.65, 0.658, 0.304, 0.533, 0.491, 0.462, 0.419, 0.373]"
07,0.500,1.099,0.630,0.982,0.630,0.548,0.636,"[0.547, 0.688, 0.649, 0.683, 0.367, 0.575, 0.658, 0.526, 0.393, 0.394]"
08,0.452,1.272,0.567,0.981,0.567,0.519,0.559,"[0.63, 0.698, 0.667, 0.681, 0.304, 0.51, 0.422, 0.489, 0.413, 0.38]"
09,0.448,1.084,0.634,0.985,0.634,0.551,0.635,"[0.633, 0.711, 0.651, 0.654, 0.3, 0.549, 0.67, 0.515, 0.434, 0.396]"
10,0.395,1.196,0.577,0.985,0.577,0.518,0.573,"[0.613, 0.702, 0.667, 0.682, 0.261, 0.533, 0.462, 0.474, 0.402, 0.382]"
11,0.353,1.051,0.624,0.987,0.624,0.540,0.627,"[0.62, 0.709, 0.651, 0.663, 0.261, 0.536, 0.642, 0.542, 0.396, 0.381]"
12,0.347,1.167,0.584,0.985,0.584,0.519,0.583,"[0.602, 0.701, 0.619, 0.683, 0.28, 0.53, 0.499, 0.461, 0.403, 0.409]"
13,0.316,1.114,0.606,0.984,0.606,0.533,0.611,"[0.617, 0.703, 0.634, 0.654, 0.255, 0.532, 0.606, 0.532, 0.38, 0.415]"
14,0.319,1.113,0.608,0.986,0.608,0.527,0.614,"[0.593, 0.714, 0.636, 0.679, 0.25, 0.537, 0.599, 0.466, 0.379, 0.414]"
15,0.300,1.070,0.625,0.986,0.625,0.548,0.626,"[0.612, 0.714, 0.651, 0.681, 0.304, 0.536, 0.619, 0.509, 0.459, 0.396]"
16,0.324,1.124,0.613,0.986,0.613,0.534,0.612,"[0.593, 0.714, 0.619, 0.678, 0.286, 0.537, 0.577, 0.529, 0.404, 0.407]"
17,0.330,1.123,0.629,0.982,0.629,0.542,0.634,"[0.589, 0.709, 0.65, 0.692, 0.286, 0.535, 0.647, 0.491, 0.397, 0.43]"
18,0.292,1.169,0.598,0.983,0.598,0.522,0.600,"[0.601, 0.702, 0.619, 0.662, 0.2, 0.531, 0.571, 0.467, 0.434, 0.437]"
19,0.292,1.086,0.633,0.985,0.633,0.544,0.634,"[0.589, 0.693, 0.65, 0.695, 0.244, 0.539, 0.641, 0.534, 0.454, 0.404]"
